"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Burling St & Armitage Ave",41.91808,-87.64728,833,388,46.58
"Avers Ave & Foster Ave",41.97541,-87.72452,325,151,46.46
"Public Rack - Burling Ave & Armitage Ave",41.91814108,-87.64714058,110,51,46.36
"Valli Produce - Evanston Plaza",42.039742,-87.699413,725,336,46.34
"Leclaire Ave & Belmont Ave",41.939041,-87.754197,177,82,46.33
"Springfield Ave & North Ave",41.910158,-87.723831,447,207,46.31
"Sheffield Ave & Addison St",41.947017,-87.654418,5007,2318,46.30
"Damen Ave & Pershing Rd",41.823192,-87.676597,268,124,46.27
"Western Ave & 24th St",41.84847,-87.685109,827,382,46.19
"Cottage Grove Ave & 83rd St",41.743441,-87.604836,193,89,46.11
"Indiana Ave & 31st St",41.838842,-87.621857,1434,659,45.96
"Kedzie Ave & Harrison St",41.87359967462,-87.7048707493,148,68,45.95
"Leavitt St & Archer Ave",41.82879201994,-87.6806044594,1054,484,45.92
"Sheffield Ave & Waveland Ave",41.949399,-87.654529,11758,5394,45.88
"Lakefront Trail & Bryn Mawr Ave",41.98404411519213,-87.65228122472763,11693,5363,45.87
"Rush St & Illinois St",41.89087,-87.62584,5309,2430,45.77
"Wabash Ave & 87th St",41.73655301831962,-87.62264415621758,149,68,45.64
"Sheffield Ave & School St",41.94236,-87.65427,2456,1120,45.60
"Central Ave & Altgeld St",41.9258119,-87.7663685,250,114,45.60
"Troy St & North Ave",41.90976930169,-87.7052804871,2221,1011,45.52
"Public Rack - Dearborn St & Jackson Ave",41.87802962,-87.62940128,165,75,45.45
"Harlem Ave & Bloomingdale Ave",41.91203,-87.80577,152,69,45.39
"Wallace St & 35th St",41.83070705144085,-87.64125533401966,1291,586,45.39
"Shields Ave & 43rd St",41.81620767856,-87.6348193497,150,68,45.33
"Lake/Morgan Corral",41.8854978,-87.6523157,139,63,45.32
"Hoyne Ave & 47th St",41.808227,-87.67718,554,251,45.31
"Sheffield Ave & Addison St ",41.947017,-87.654418,6659,3016,45.29
"University Library (NU)",42.052939,-87.673447,2458,1109,45.12
"Winthrop Ave & Sheridan Rd",41.99814,-87.65885,584,263,45.03
